val_lr_0.2_n_200_d_5_s_4_leaf_2,472.73,483.96,457.2,485.7,467.32,473.38
train_lr_0.2_n_200_d_5_s_4_leaf_4,370.92,372.44,374.54,372.16,376.08,373.23
val_lr_0.2_n_200_d_5_s_4_leaf_4,472.87,481.29,455.98,489.01,467.95,473.42
train_lr_0.2_n_500_d_3_s_2_leaf_1,406.24,406.05,411.1,404.19,408.56,407.23
val_lr_0.2_n_500_d_3_s_2_leaf_1,470.01,476.97,451.7,481.74,462.0,468.48
train_lr_0.2_n_500_d_3_s_2_leaf_2,408.39,407.09,412.51,405.57,410.58,408.83
val_lr_0.2_n_500_d_3_s_2_leaf_2,469.0,476.08,453.48,483.82,464.17,469.31
train_lr_0.2_n_500_d_3_s_2_leaf_4,410.1,409.1,414.08,408.28,411.46,410.6
val_lr_0.2_n_500_d_3_s_2_leaf_4,467.27,476.29,451.47,482.32,462.38,467.95
train_lr_0.2_n_500_d_3_s_4_leaf_1,406.06,405.53,411.82,403.98,409.34,407.35
val_lr_0.2_n_500_d_3_s_4_leaf_1,469.41,477.81,451.44,481.8,460.66,468.22
train_lr_0.2_n_500_d_3_s_4_leaf_2,408.39,407.09,412.51,405.57,410.58,408.83
val_lr_0.2_n_500_d_3_s_4_leaf_2,469.0,476.08,453.48,483.82,464.17,469.31
train_lr_0.2_n_500_d_3_s_4_leaf_4,410.1,409.1,414.08,408.28,411.46,410.6
val_lr_0.2_n_500_d_3_s_4_leaf_4,467.27,476.29,451.47,482.32,462.38,467.95
train_lr_0.2_n_500_d_4_s_2_leaf_1,360.04,357.2,361.43,355.95,361.26,359.18
val_lr_0.2_n_500_d_4_s_2_leaf_1,484.69,486.57,462.25,491.03,474.85,479.88
train_lr_0.2_n_500_d_4_s_2_leaf_2,361.86,362.71,363.51,358.24,365.11,362.29
val_lr_0.2_n_500_d_4_s_2_leaf_2,478.27,483.69,464.34,493.48,472.85,478.53
train_lr_0.2_n_500_d_4_s_2_leaf_4,366.92,367.43,369.63,365.03,369.19,367.64
val_lr_0.2_n_500_d_4_s_2_leaf_4,477.58,484.76,460.5,488.51,467.55,475.78
train_lr_0.2_n_500_d_4_s_4_leaf_1,360.15,358.9,363.38,356.85,362.33,360.32
val_lr_0.2_n_500_d_4_s_4_leaf_1,481.89,487.91,461.24,491.92,472.94,479.18
train_lr_0.2_n_500_d_4_s_4_leaf_2,361.86,362.71,363.51,358.24,365.11,362.29
val_lr_0.2_n_500_d_4_s_4_leaf_2,478.27,483.69,464.34,493.48,472.85,478.53
train_lr_0.2_n_500_d_4_s_4_leaf_4,366.92,367.43,369.63,365.03,369.19,367.64
val_lr_0.2_n_500_d_4_s_4_leaf_4,477.58,484.76,460.5,488.51,467.55,475.78
train_lr_0.2_n_500_d_5_s_2_leaf_1,300.56,299.15,304.01,299.02,308.44,302.24
val_lr_0.2_n_500_d_5_s_2_leaf_1,487.83,496.38,477.83,509.48,482.31,490.77
